,,,,,,,,,,,,,,,,,,,,,11.18877862,8.950748638,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,20.64375871,18.00397775,12.75770979,7.708186564,8.23127662,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,18.11723548,19.25195735,17.89650207,14.99985475,8.553085769,6.039394348,6.240960052,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,19.78930214,16.44274484,15.34736877,14.98614132,16.32813016,15.13342413,10.24834222,5.005828793,3.226868389,4.984576574,,,,,,,,,,,,
,,,,,,,,,,,,,,,24.43608722,20.1308445,16.28754278,13.33518739,11.13461775,11.10137609,11.5243415,9.190509004,6.630142643,2.435163935,2.238335177,,,,,,,,,,,,
,,,,,,,,,,,,,26.05408219,22.03231659,22.58470683,20.81745417,15.8099221,12.92200161,9.52560204,8.216571026,6.843943875,6.707388753,6.453071445,3.321754523,1.895985284,1.060001689,,,,,,,,,,,
,,,,,,,,,,,,21.7925951,23.00940041,20.99466088,19.63804663,19.0620465,17.11649603,11.63728226,9.132313535,5.969819782,4.512828084,4.589120525,3.201396079,3.833749134,1.981096167,1.361592051,0.950703563,,,,,,,,,,
,,,,,,,,,,,15.26744023,15.71604853,17.2251605,17.56396216,18.11301947,14.75310111,14.39891905,10.95256384,6.435458038,4.764337835,3.948380937,2.450140788,2.780916989,4.043707404,1.687160614,0.613458262,1.350205612,0.5202047,,,,,,,,,
,,,,,,,,,18.34385699,16.8648423,14.10889462,11.20215663,11.37710031,11.51055919,12.89593311,11.92102975,9.716889994,9.705416203,6.25972461,4.821626695,0.68264281,2.343602367,2.213558935,1.927241616,1.378597522,2.576970195,1.082378671,2.2850336,0.851515453,,,,,,,,
,,,,,,,,16.27780005,16.07574469,13.69550425,10.42378538,9.383804855,6.977631518,8.472463446,5.693012366,6.514760659,6.722033916,7.267392351,3.962999908,3.814860403,0.448342352,1.559107469,1.06777971,2.735349048,1.442881401,1.70624912,2.018888264,0.940339978,0.673925353,-0.688632454,,,,,,,
,,,,,,10.54334696,12.25653461,11.72312683,10.08107288,11.75701327,8.830502692,5.503639839,4.675767203,4.270326285,3.904452114,1.197632816,4.168185594,4.603339461,3.110445026,1.57008504,3.132268632,0.556237756,0.10845312,1.805576121,1.074996138,2.288552548,1.471573301,2.599388177,0.816235689,0.380848356,-1.257657094,,,,,,
,,,,,7.834240266,7.762363827,7.32843617,5.653898007,5.454370211,7.720366299,6.550011158,2.385664348,-0.304547293,1.061085551,1.705365512,0.196051849,-0.549785582,1.061596035,3.090499215,-0.478617264,0.486644521,1.761469722,0.480142066,0.245733815,1.038195614,-0.029915445,0.816055902,2.232353264,2.258202619,0.955587909,1.390369689,-1.707794298,,,,,
,,,,3.200724275,5.360318146,4.986576576,4.374083821,3.079203429,1.319905574,2.588333651,3.703593751,1.074972891,-1.416312965,-2.732947664,-1.115416624,-2.953747715,-2.344369499,-2.120726784,-0.318267002,1.138893468,1.149605041,2.598194341,-0.184453117,-0.211553682,1.234774227,1.026307991,1.011625278,-0.811718614,2.336789838,2.980190496,1.673273708,1.842481271,-0.00199822,,,,
,,1.441691367,1.61258166,2.91505376,2.877465978,1.518200403,2.250927995,1.788102767,1.120599519,-0.388675547,-1.070422119,0.21685856,-0.186417898,-1.722603783,-2.43981755,-4.850956294,-2.990912044,-3.410110092,-3.332807828,-1.563391714,-1.321819224,0.250576553,1.128698643,-0.322579584,1.105788107,1.987661985,1.062344766,1.341448552,-1.310921761,2.762774487,1.646874564,3.130312245,2.00628337,0.578026423,,,
,0.677765924,0.928375392,1.189927963,1.86069488,0.652249096,0.914511524,0.463947769,1.089441589,-0.098421794,-0.977574245,-0.773752147,-1.616569804,-0.304641926,0.903628309,-1.791149793,-2.263778724,-4.788855811,-1.686687247,-4.526536293,-2.985700428,-1.494038839,-0.1327782,1.402328452,-0.121658843,0.737020085,1.450769825,1.485296815,1.155688286,0.959739838,-1.069375332,1.208151632,1.869553195,2.189441407,2.219487109,,,
0.606803634,0.612609136,0.578267982,0.66010309,0.824259034,1.692055736,-0.029561461,-0.179761241,-0.267512988,-0.351618862,-0.841570531,-0.666166167,0.281254594,-1.616786397,0.847153369,-0.112761091,-0.277809617,-6.024024569,-3.633057303,-2.761191798,-3.883656827,-2.664696963,-2.653469164,-0.682544869,-0.342136611,0.847543906,1.5350081,1.029395229,1.108620873,1.664876962,0.521643756,0.195077314,1.782662627,2.219695807,2.097563335,1.781316061,,
0.653480661,0.631867718,0.548254134,0.40337564,0.592662043,0.613841376,0.533997982,-0.20070068,-0.437344262,-0.176954557,-0.719646621,-0.676384543,0.348935694,0.144120324,-0.792647035,-0.607147005,-0.54276645,-0.052445121,-1.344446463,-4.439024094,-4.224535398,-4.084429256,-2.86116086,-2.806066037,-1.511065276,-0.305144324,1.459360857,1.392085385,2.206026777,1.802397873,1.904424028,1.3737425,0.663150743,1.68042325,1.801854599,1.832153053,1.590473891,
0.65757993,0.721052645,0.627179208,0.554855657,0.46172432,0.234116648,0.402694749,-0.000891948,0.072362623,-0.002611928,0.431038374,-0.826970483,-0.029162252,-0.010801954,-0.789453892,-0.134747747,-0.404687618,-0.462737066,-1.908844063,-3.795965495,-3.614175069,-5.530133937,-4.138359358,-3.706103327,-2.754950439,-1.104282366,0.743796089,2.568037741,1.520771864,2.701468738,2.880514286,2.056754594,1.43475573,0.253817265,1.322408156,1.621483462,1.64378469,
